id,nom,iata,icao
m1,Nadi International (Nadi) (NAN),NAN,NFFN
m2,Zakynthos lufthavn (ZTH), ZTH,LGZA
m3,Eleftherios Venizelos (Athens) (SPJ),SPJ,LGSP
m4,Sveg (Sveg) (EVG),EVG,ESND
m5,Kerch (Kerch) (KHC),KHC,UKFK
m6,Adelaide International Airport (Adelaide) (ADL),ADL,YPAD
m7,Sidi Ifni (Sidi Ifni) (SII),SII,GMMF
m8,Drietabbetje (Drietabbetje) (DRJ),DRJ,SMDA
m9, Yuzhno-Kurilsk Mendeleyevo,DEE,UHSM
m10,"Bella Coola (Bella Coola, BC) (QBC)",QBC,CYBD
m11,Schwechat International (Vienna) (VIE),VIE,LOWW
m12,Aktau,SCO,UATE
m13,Oudomxai (Oudomxay) (ODY),ODY,VLOS
m14,Sao Tome International,TMS,FPST
m15,Puka Puka (Puka Puka) (PKP),PKP,NTGP
m16,Polgolla Reservoir (Katugastota) (KDZ),KDZ,TKPK
m17,Choibalsan (Choibalsan) (COQ),COQ,ZMCD
m18,Boke (Boke) (BKJ),BKJ,GUOK
m19,Acadiana Regional (New Iberia) (ARA),ARA,KARA
m20,Akulivik (Akulivik) (AKV),AKV,CYKO
m21,Cluj-Napoca International,CLJ,LRCL
m22,"Heydar Aliyev, Baku (Baku) (GYD)",GYD,UBBB
m23,Uberaba (Uberaba) (UBA),UBA,SBUR
m24,Zanderij Intl (Paramaribo) (PBM),PBM,SMJP
m25,Abemama Atoll (Abemama Atoll) (AEA),AEA,NGTB
m26,Athens (Athens) (AHN),AHN,KAHN
m27,Charles de Gaulle CDG flygplats,CDG,LFPG 
m28,Halli (Kuorevesi) (KEV),KEV,EFHA
m29,Dirranbandi (Dirranbandi) (DRN),DRN,YDBI
m30,Khovd (Khovd) (HVD),HVD,ZMKD
m31,Air Base (Wiesbaden) (WIE),WIE,ETOU
m32,London Gatwick Airport,LGW,EGKK
m33,Pisa International Airport,PSA,LIRP
m34,Eil (Eil) (HCM),HCM,HCME
m35,"Chippewa Valley Regional Airport (Eau Claire, WI) (EAU)",EAU,KEAU
m36,Nantes Airport,NTE,LFRS
m37,Eldebba (Eldebba) (EDB),EDB,HSDB
m38,Marrakech Aeropuerto,RAK,GMMX
m39,Jacmel (Jacmel) (JAK),JAK,MTJA
m40,Ilaam (Ilaam) (IIL),IIL,HCME
m41,Sfax Thyna (Sfax) (SFA),SFA,DTTX
m42,Beatrice (Beatrice) (BIE),BIE,KBIE
m43,Augsburg,AGB,EDMA
m44,Pakuba (Pakuba) (PAF),PAF,HUPA
m45,Farewell (Farewell) (FWL),FWL,PAFW
m46,Berkeley (Berkeley) (JBK),JBK,SIGF
m47,Marsa Alam International,RMF,HEMA
m48,Galegu (Dinder) (DNX),DNX,HSGG
m49,Ankara Esenboga International,ESB,LTAC
m50,Rivera,RVY,SURV
m51,Hamburg Airport,HAM,EDDH
m52,Kruunupyy (Kokkola/Pietarsaari) (KOK),KOK,EFKK
m53,Kasaba Bay (Kasaba Bay) (ZKB),ZKB,FLKY
m54,Asuncion Silvio Pettirossi International,ASU,SGAS
m55,Jalalabad (Jalalabad) (JAA),JAA,OAJL
m56,Prince George,(YXS),CYXS
m57,"Rijeka, Lentoasema (RJK)", RJK,LDRI
