id,nom,iata,icao
w1,Saint-Denis de la Réunion-Roland Garros,RUN,FMEE
w2,Campo Grande,CGR,SBCG
w3,Municipal João Winckler,AXE,SSXX
w4,Bauru,BAU,SBBU
w5,Santa Cruz Do Sul,CSU,SSSC
w6,Hong Kong International Airport,HKG,VHHH
w7,香港國際機場,HKG,VHHH
w8,Internacional De Belém/val De Cans/júlio Cezar Ribeiro,BEL,SBBE
w9,Barreiras,BRA,SNBR
w10,Lins,LIP,SWXQ
w11,Anápolis,APS,SWNS
w12,Hercílio Luz,FLN,SBFL
w13,Simon Mwansa Kapwepwe International Airport,NLA,FLSK
w14,Cacoal,OAL,SSKW
w15,Aripuanã,AIR,SSOU
w16,Teles Pires Lodge,AIR,SSOU
w17,Aeroporto Internacional De Parnaíba / Prefeito Doutor João Silva Filho,PHB,SBPB
w18,Ângelo Ponzoni,VIA,SSVI
w19,Diamantino,DMT,SWDM
w20,Rubem Berta,URG,SBUG
w21,Presidente Castro Pinto,JPA,SBJP
w22,Regional Orlando Villas Boas,MBK,SWXM
w23,Cangapara,FLB,SNQG
w24,Santa Terezinha,STZ,SWST
w25,Baltimore/Washington International Thurgood Marshall Airport,BWI,KBWI
w26,Aéroport d'Aurillac-Tronquières,AUR,LFLW
w27,Carauari,CAF,SWCA
w28,Bandar Udara Internasional Supadio,PNK,WIOO
w29,Lapangan Terbang Sungai Durian,PNK,WIOO
w30,Pangkalan TNI AU Supadio,PNK,WIOO
w31,Pangkalan Udara Sungai Durian,PNK,WIOO
w32,Marechal Rondon,CGB,SBCY
w33,Umberto Modiano,BZC,SBBZ
w34,Umberto Modiano,BZC,SSBZ
w35,General Leite De Castro,RVD,SWLC
w36,São Félix Do Xingu,SXX,SNFX
w37,Gaudêncio Machado Ramos,ALQ,SSLT
w38,Capitão João Busse,APU,SSAP
w39,Aeroporto Internacional de Manaus / Eduardo Gomes,MAO,SBEG
w40,Ronald Reagan Washington National Airport,DCA,KDCA
w41,Washington National Airport,DCA,KDCA
w42,Maestro Wilson Fonseca,STM,SBSN
w43,Hamburg Airport Helmut Schmidt,HAM,EDDH
w44,Chafei Amsei (sbbt*),BAT,SNBA
w45,Professor Eriberto Manoel Reino,SJP,SBSR
w46,Presidente Prudente,PPB,SBDN
w47,Eirunepé,ERN,SWEI
w48,Erechim,ERM,SSER
w49,Itaqui,ITQ,SSIQ
w50,Zračna luka Dubrovnik,DBV,LDDU
w51,Bahia - Jorge Amado,IOS,SBIL
w52,Bluethenthal Field,ILM,KILM
w53,New Hanover County Airport,ILM,KILM
w54,New Hanover County International Airport,ILM,KILM
w55,Wilmington International Airport,ILM,KILM
w56,Macaé,MEA,SBME
w57,Kendall-Tamiami Executive Airport,TMB,KTMB
w58,Santana Do Araguaia,CMP,SNKE
w59,Bauru/arealva,JTC,SBAE
