nom,iata,icao
Sary-Arka Airport,KGF,UAKK
Downsview Airport,YZD,CYZD
Moorea Airport,MOZ,NTTM
Maun Airport,MUB,FBMN
Ruhnu Airfield,,EERU
Marsa Alam International Airport,RMF
Alert Airport,YLT,CYLT
Esbjerg Airport,EBJ,EKEB
"Ohrid ""St. Paul the Apostle"" Airport",OHD,LWOH
Midtjylland Airport,KRP,EKKA
Arturo Merino Benítez International Airport,SCL,SCEL
Tirana International Airport Nënë Tereza,TIA,LATI
Katima Mulilo Airport,MPA,FYKM
Stockholm Arlanda Airport,ARN,ESSA
Naval Air Station Whidbey Island,NUW,KNUW
Zorg en Hoop Airport,ORG,SMZO
Phuket International Airport
Kemerovo International Airport,KEJ,UNEE
Mopti Airport,MZI,GAMB
Akwa Ibom Airport,QUO,DNAI
Pucón Airport,ZPC,SCPC
Kangiqsujuaq Airport,YWB,CYKG
Fort Nelson Airport,YYE,CYYE
Murcia-San Javier Airport,MJV,LELC
Abernathy Field,,KGZS
Marrakesh Menara Airport,RAK,GMMX
Catania-Fontanarossa Airport,CTA,LICC
Anglesey Airport,VLY,EGOV
Lampang Airport,LPT,VTCL
Al Udeid Air Base,XJD,OTBH
Pembrey Airport,,EGFP
Toulon-Hyères Airport,TLN,LFTH
Berbérati Airport,BBT,FEFT
Fertőszentmiklós Airport,,LHFM
Padua Airport,,LIPU
Bora Bora Airport,BOB,NTTB
Joya Andina Airport,UYU,SLUY
Joseph State Airport,,KJSY
Juan Simons Vela Airport,RIJ,SPJA
Guanaja Airport,GJA,MHNJ
Juan de Ayolas Airport,AYO,SGAY
Birr Aerodrome,,EIBR
Biltine Airport,,FTTE
Birch Creek Airport,KBC,
Bloomsburg Municipal Airport,,
Blairsville Airport,,KDZJ
Big Spring McMahon-Wrinkle Airport
Boca Raton Airport,BCT,KBCT
Blue Canyon–Nyack Airport,BLU,KBLU
Bir Moghrein Airport,,GQPT
Blackstone Army Airfield,BKT,KBKT
Blythe Airport,BLH,KBLH
Blackwater Airport,BLT,YBTR
Bloomfield Municipal Airport,,
Black River Falls Area Airport,BCK,KBCK
Blackwell–Tonkawa Municipal Airport,BWL,KBKN
Blanding Municipal Airport,BDG,KBDG
Bislig Airport,BPH,RPMF
Bismarck Memorial Airport,,
Blosser Municipal Airport,CNK,KCNK
Bijie Feixiong Airport,BFJ,ZUBJ
Buffalo Niagara International Airport,BUF,KBUF
Blimbingsari Airport,BWX,WADY
Bilaspur Airport,PAB,VABI
Laoag International Airport,LAO,RPLI
Billund Airport,BLL,EKBI
Bob Baker Memorial Airport,IAN,PAIK
Bilbao Airport,BIO,LEBB
Biskra Airport,BSK,DAUB
Birsa Munda Airport,IXR,VERC
Sofia Airport,SOF,LBSF
Belgrade Nikola Tesla Airport,BEG,LYBE
"Thessaloniki Airport ""Makedonia""",SKG,LGTS
Zagreb Airport,ZAG,LDZA
Cazombo Airport,CAV,FNCZ
Chilliwack Airport,YCW,CYCW
Victoria International Airport,YYJ,CYYJ
Toronto Pearson International Airport,YYZ,CYYZ
Brive – Souillac Airport,BVE,LFSL
Yenişehir Airport,YEI,LTBR
Salzburg Airport,SZG,LOWS
Dolisie Airport,DIS,FCPD
Aguni Airport,AGJ,RORA
Gap – Tallard aerodrome,GAT,LFNA
Lappeenranta Airport,LPP,EFLP
Tsuiki Air Field,,RJFZ
Matsuyama Airport,MYJ,RJOM
Oslo Rygge,RYG,ENRY
Guerrero Negro Airport,GUB,MMGR
Sitiawan Airport,SWY,WMBA
Poplar Grove Airport,,
Stadtlohn-Vreden Airport,,EDLS
Alfredo Vásquez Cobo International Airport,LET,SKLT
Vijayawada Airport,VGA,VOBZ
Semey Airport,PLX,UASS
Brumowski Air Base,,LOXT
Monroe Regional Airport,MLU,KMLU
Dallas/Fort Worth International Airport,DFW,KDFW
Cairo International Airport,CAI
Juan Pablo Pérez Alfonso Airport,VIG,SVVG
Joseph A. Hardy Connellsville Airport,,KVVS
Joseph Y. Resnick Airport,,
Joyner Airport,,
JPM Airport,,
Juan Mendoza Airport,ORU,SLOR
Juan Gualberto Gómez Airport,VRA,MUVR
Juan Santamaría International Airport,SJO,MROC
Juan Manuel Gálvez International Airport,RTB,MHRO
Juan H. White Airport,CAQ,SKCU
Abakan International Airport,ABA,UNAA
Nanjing Lukou International Airport,NKG,ZSNJ
Zahedan Airport,ZAH,OIZH
Johannisthal Air Field,,
Khujirt Airport
Cranfield Airport,XUD,EGTC
Black Rock Airport,ZUN,KZUN
Blue Grass Airport,LEX,KLEX
Billings Logan International Airport,BIL,KBIL
Bloemfontein Airport,BFN,FABL
Bo Airport,KBS,GFBO
Bikini Atoll Airport,BII,
Blackall Airport,BKQ,YBCK
Bird River (Lac du Bonnet) Airport,,
Black Lake Water Aerodrome,,
Blackie/Wilderman Farm Airport,,CFT2
Blind Channel Water Aerodrome,,
Birch Hills Airport,,
Biggar Airport,,
Blackbushe Airport,BBS,EGLK
Big Trout Lake Airport,YTL,CYTL
Blue River Airport,,CYCP
Bird River Water Aerodrome,,
Black Diamond/Cu Nim Airport,,CEH2
Bissett Water Aerodrome,,
Bloodvein River Airport,YDV,CZTA
Black Tickle Airport,YBI,CCE4
Bob Quinn Lake Airport,YBO,CBW4
Birch Mountain Airport,,CFM2
Biratnagar Airport,BIR,VNVT
Bobo Dioulasso Airport,BOY,DFOO
Jyväskylä Airport,JYV,EFJY
Lifou Airport,LIF,NWWL
Pleiku Airport,PXU,VVPK
Bathpalathang Airport,BUT,VQBT
King Abdulaziz International Airport,JED,OEJN
Zadar Airport,ZAD,LDZD
EuroAirport Basel-Mulhouse-Freiburg,MLH,LSZM
EuroAirport Basel-Mulhouse-Freiburg,BSL,LSZM
EuroAirport Basel-Mulhouse-Freiburg,EAP,LSZM
EuroAirport Basel-Mulhouse-Freiburg,MLH,LFSB
EuroAirport Basel-Mulhouse-Freiburg,BSL,LFSB
EuroAirport Basel-Mulhouse-Freiburg,EAP,LFSB
El Nouzha Airport,ALY
Vnukovo International Airport,VKO,UUWW
Barysiai Airport
Red Bluff Municipal Airport,RBL,KRBL
Skiathos Island National Airport,JSI,LGSK
Rajiv Gandhi International Airport
Tartu Airport,TAY,EETU
Tabiteuea Nord Aerodrome,TBF,NGTE
Shri Guru Gobind Singh Ji Airport,NDC,VAND
Opole-Kamień Śląski Airport,,EPKN
Szczecin - Dąbie Airstrip,,EPSD
Cairns Airport,CNS,YBCS
Land's End Airport,LEQ,EGHC
Mason Jewett Field,,KTEW
Cornwall Airport Newquay,NQY,EGHQ
Boryspil International Airport,KBP,UKBB
Tan Son Nhat International Airport,SGN,VVTS
Ovda Airport,VDA,LLOV
Calicut International Airport,CCJ,VOCL
Montpellier – Méditerranée Airport,MPL,LFMT
Qianjiang Wulingshan Airport,JIQ,ZUQJ
Bilwi Airport,PUZ,MNPC
Vladivostok International Airport,VVO,UHWW
Lihir Island Airport,LNV,AYKY
Bournemouth Airport,BOH,EGHH
